gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,69.98251184562015,-0.42639625070123416,0.57373845072762,-0.7431892531526775,0.4573671088964769,0.581103540569488
NOC2L,369.11835296990745,-0.8435502477193704,0.2364166062344531,-3.5680668171119336,0.0003596248071980674,0.003029807601504556
KLHL17,96.52040951678656,-0.23751071291954087,0.29371040688555067,-0.808656102580972,0.41871298469555196,0.5445149811755093
HES4,282.9899058696135,-1.7398173782370152,0.42115691614669154,-4.131043113704979,3.61120838990439e-05,0.0004992228293741751
ISG15,101.41013727206436,-0.9758486446894501,0.37835794944215195,-2.5791678121953927,0.00990386616515976,0.03403337105283057
AGRN,409.5614482185494,-4.830086219969603,0.6202517432423523,-7.7872997095025225,6.845643606156104e-15,1.3573129528151156e-12
C1orf159,643.4464937676673,0.003345928252327151,0.15190595543111893,0.022026313865254263,0.9824269651982119,0.9897900178667752
TTLL10,10.646630337248498,-1.5015413998457874,0.4260068218309316,-3.524688626797861,0.0004239808374533231,0.0034788541050450104
SDF4,520.8332150748033,-0.568917916572957,0.20302478525258755,-2.8022091778851226,0.0050753953523900155,0.02113385279933633
B3GALT6,93.76061849929262,-1.042105773840838,0.3033843774876003,-3.434935518007779,0.0005926948411507014,0.00450792541927079
UBE2J2,478.9298217795221,-0.1904550046674283,0.10656943692182509,-1.7871447027269007,0.0739141040016654,0.1469954302445871
SCNN1D,250.10593251591376,-1.2140364035639362,0.34751230096224067,-3.493506273597632,0.0004767217826811207,0.0038269944994600894
ACAP3,1824.8848854586947,-1.1112701719354117,0.35226747254782254,-3.1546204476331545,0.0016070702668343271,0.009473636492690216
PUSL1,46.07365102048666,-0.8182195638972735,0.25591075224142473,-3.197284821879504,0.001387278714370155,0.008504647230746983
CPTP,126.33505052684026,-1.373352980651263,0.3474321424080984,-3.952866799060015,7.722042770898116e-05,0.0009094291868672036
DVL1,348.1089903997779,-0.5151032903922356,0.2257060084872751,-2.28218687594786,0.02247830959824209,0.061156212993412784
AURKAIP1,236.59083690574698,-0.9122542530409831,0.2971599929700674,-3.069909390975364,0.002141237211952404,0.011544363198051574
CCNL2,1086.0786857011537,0.12003824183872926,0.14102889616394537,0.8511606139155015,0.39468013831584037,0.5219774062404459
MRPL20,345.2157179965345,-0.02246174023783798,0.13304688930099015,-0.16882574523800473,0.8659337072185995,0.9113681395728948
ANKRD65,128.5211664692678,-0.43096866201294537,0.287079699981343,-1.5012160805551686,0.1332996820873715,0.23009893840579787
VWA1,437.31243682940783,-0.29054959671314545,0.3140819972913532,-0.9250756147084154,0.3549265764864712,0.4816884452006736
ATAD3C,108.86231902445252,0.1049978340536164,0.3061833617413278,0.34292468884158855,0.7316551177119976,0.8128003817456024
ATAD3B,427.4184094260757,-0.5771255221245907,0.2400699628942882,-2.4039888837685233,0.016217266417247984,0.0484576205869627
ATAD3A,274.8735114236507,-0.6114062691071714,0.23832246623978534,-2.5654579643868414,0.010303970563719804,0.03493585889058424
TMEM240,67.94052264591565,-0.26736182086023524,0.3472762785689376,-0.7698821870643877,0.4413697812526398,0.5659950574865517
SSU72,555.9224746127995,-0.7463723535354767,0.21693128868784764,-3.4405933696796778,0.0005804401302440458,0.004440428353674587
MIB2,628.8287715254805,-0.9396066362053317,0.3104558567613168,-3.026538606832325,0.0024737122918367157,0.012805619353377906
MMP23B,220.73555878445327,-4.8513963891972764,0.642072793303032,-7.555835475040315,4.1617964978080065e-14,6.547591577094901e-12
CDK11B,538.8411853013932,-0.2818620650147505,0.1726316690114547,-1.632736719912312,0.10252438104557014,0.18845066135333097
SLC35E2B,359.1018562814345,0.5130856345401399,0.1815539057899324,2.8260787467376627,0.0047121678235453185,0.02008360337985717
CDK11A,165.7135535822444,-3.682768753076364,0.9009641254994626,-4.0875864519408776,4.3588426493924375e-05,0.0005788063165807903
NADK,301.98388578743067,0.10634003456838872,0.15328592178127243,0.6937364718994091,0.48784748909929,0.6095040619096351
GNB1,2559.5851286610964,0.3573589731833878,0.10761761717261942,3.3206363657929856,0.0008981247145640089,0.006181387122491424
CFAP74,208.54946107361704,-0.5007175551918795,0.21583173232060543,-2.319944105568744,0.020343901209775438,0.057043321602148325
GABRD,430.7745156205932,-1.8148536380939482,0.5799609507050569,-3.1292686790164677,0.0017524199093212208,0.010081290050681778
PRKCZ,907.15154031426,-0.10470664576965959,0.40930462842662,-0.25581593389782875,0.7980929697331648,0.8638000182395743
FAAP20,311.20043342331627,-0.5533419916224177,0.2118455455986101,-2.612006733768435,0.009001248117932587,0.03186208492515438
SKI,1145.5844260440722,0.3848748725088333,0.23138133766713984,1.6633790624138665,0.09623658154056801,0.17965802242815326
MORN1,246.32388074091693,-0.287212423194869,0.2265174886871603,-1.2679481167634412,0.2048164793456826,0.31812041023750554
RER1,455.75674240243467,-0.41417871544175217,0.13925389074537997,-2.9742703289997188,0.002936862174014411,0.014424208723001215
PEX10,131.38072299436163,-0.5766953006965242,0.17865169546787246,-3.2280426960752426,0.0012464036923121391,0.007912476773037677
PLCH2,311.4882232923753,-0.9621898274789256,0.4879980553978634,-1.9717083230884087,0.04864291296489696,0.10708903289481389
