,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,69.98251184562015,0.42639625070123305,0.5737384507276185,0.7431892531526774,0.4573671088964769,0.581103540569488
NOC2L,369.11835296990745,0.8435502477193768,0.23641660623445337,3.5680668171119563,0.00035962480719803634,0.0030298076015042945
KLHL17,96.52040951678656,0.23751071291954476,0.293710406885551,0.8086561025809843,0.41871298469554497,0.5445149811755002
HES4,282.9899058696135,1.7398173782370012,0.4211569161466916,4.131043113704945,3.6112083899049243e-05,0.0004992228293742491
ISG15,101.41013727206436,0.9758486446894546,0.37835794944215173,2.5791678121954065,0.009903866165159363,0.034033371052829206
AGRN,409.5614482185494,4.830086219969605,0.6202517432423512,7.7872997095025385,6.845643606155213e-15,1.3573129528149391e-12
C1orf159,643.4464937676673,-0.003345928252327168,0.15190595543111926,-0.02202631386525433,0.9824269651982119,0.9897900178667524
TTLL10,10.646630337248498,1.5015413998457838,0.426006821830931,3.5246886267978574,0.0004239808374533288,0.0034788541050450573
SDF4,520.8332150748033,0.5689179165729571,0.2030247852525877,2.8022091778851217,0.0050753953523900285,0.021133852799336383
B3GALT6,93.76061849929262,1.0421057738408364,0.3033843774876004,3.434935518007773,0.000592694841150715,0.004507925419270592
UBE2J2,478.9298217795221,0.19045500466741608,0.10656943692182556,1.7871447027267782,0.07391410400168517,0.14699543024462644
SCNN1D,250.10593251591376,1.2140364035639373,0.34751230096224056,3.4935062735976365,0.0004767217826811126,0.0038269944994600243
ACAP3,1824.8848854586947,1.1112701719354094,0.35226747254782226,3.15462044763315,0.001607070266834352,0.009473636492689423
PUSL1,46.07365102048666,0.8182195638972786,0.25591075224142434,3.1972848218795282,0.0013872787143700371,0.00850464723074626
CPTP,126.33505052684026,1.3733529806512623,0.3474321424080984,3.9528667990600126,7.722042770898197e-05,0.000908689813544557
DVL1,348.1089903997779,0.5151032903922428,0.2257060084872758,2.282186875947885,0.022478309598240605,0.06114471962505817
AURKAIP1,236.59083690574698,0.9122542530409847,0.2971599929700675,3.0699093909753685,0.002141237211952373,0.0115400668217214
CCNL2,1086.0786857011537,-0.12003824183874785,0.1410288961639452,-0.8511606139156344,0.39468013831576654,0.521977406240431
MRPL20,345.2157179965345,0.022461740237815477,0.13304688930098932,0.1688257452378366,0.8659337072187318,0.9113681395728724
ANKRD65,128.5211664692678,0.4309686620129461,0.287079699981343,1.501216080555171,0.1332996820873709,0.23009893840579682
VWA1,437.31243682940783,0.2905495967131152,0.3140819972913534,0.9250756147083186,0.3549265764865216,0.48168844520074205
ATAD3C,108.86231902445252,-0.1049978340536053,0.3061833617413279,-0.34292468884155225,0.7316551177120248,0.8128003817456326
ATAD3B,427.4184094260757,0.5771255221245836,0.24006996289428836,2.4039888837684917,0.01621726641724939,0.0484576205869669
ATAD3A,274.8735114236507,0.6114062691071497,0.23832246623978523,2.565457964386751,0.010303970563722493,0.034944044424552075
TMEM240,67.94052264591565,0.2673618208602351,0.3472762785689375,0.7698821870643874,0.44136978125264015,0.5659950574865521
SSU72,555.9224746127995,0.7463723535354874,0.21693128868784808,3.4405933696797204,0.0005804401302439537,0.0044404283536738825
MIB2,628.8287715254805,0.9396066362053317,0.31045585676131665,3.0265386068323266,0.0024737122918367014,0.012796465944261764
MMP23B,220.73555878445327,4.851396389197268,0.6420727933030309,7.555835475040314,4.161796497808038e-14,6.5475915770949505e-12
CDK11B,538.8411853013932,0.2818620650147576,0.17263166901145546,1.632736719912346,0.10252438104556305,0.18845066135334623
SLC35E2B,359.1018562814345,-0.5130856345401358,0.18155390578993272,-2.826078746737635,0.0047121678235457175,0.02008360337985887
CDK11A,165.7135535822444,3.6827687530763633,0.9009641254994603,4.087586451940888,4.358842649392242e-05,0.0005782757883345857
NADK,301.98388578743067,-0.10634003456837535,0.15328592178127362,-0.6937364718993165,0.48784748909934805,0.6095040619097077
GNB1,2559.5851286610964,-0.3573589731833751,0.10761761717261865,-3.320636365792892,0.0008981247145643105,0.0061813871224935
CFAP74,208.54946107361704,0.5007175551918731,0.21583173232060615,2.3199441055687062,0.02034390120977748,0.05702122891369467
GABRD,430.7745156205932,1.8148536380939442,0.5799609507050562,3.129268679016465,0.0017524199093212358,0.010081290050681863
PRKCZ,907.15154031426,0.10470664576966608,0.4093046284266201,0.25581593389784457,0.7980929697331526,0.8638000182395611
FAAP20,311.20043342331627,0.5533419916224139,0.21184554559861088,2.6120067337684083,0.009001248117933288,0.031854294684343865
SKI,1145.5844260440722,-0.3848748725088603,0.23138133766714003,-1.663379062413982,0.0962365815405449,0.17965802242813084
MORN1,246.32388074091693,0.2872124231948597,0.2265174886871613,1.2679481167633946,0.20481647934569902,0.3181204102375593
RER1,455.75674240243467,0.41417871544175366,0.13925389074536793,2.9742703289999866,0.002936862174011849,0.014424208722988632
PEX10,131.38072299436163,0.5766953006965286,0.17865169546787246,3.2280426960752675,0.0012464036923120298,0.007912476773036983
PLCH2,311.4882232923753,0.9621898274789183,0.4879980553978629,1.9717083230883958,0.04864291296489845,0.10708903289481364
PANK4,129.99141606433875,0.5096093504327338,0.19691472098051127,2.5879697967485638,0.009654344542606967,0.03346192119484991
TNFRSF14,149.25080460506942,0.6299761283404672,0.27808622277130574,2.265398558987767,0.02348823269197275,0.06315598736459475
TTC34,71.64213156601353,-0.05478312081889118,0.3058516210704515,-0.17911665999073498,0.8578461007706774,0.9064100023202412
LINC00982,420.5203556112581,-0.4436618092860002,0.5517299981277599,-0.8041284881944462,0.4213227733869168,0.5470732772945397
PRDM16,1402.8814987761784,-0.4608926623702249,0.5484972080891413,-0.8402826041282623,0.40074995269230285,0.527938000843578
MEGF6,48.44519015501924,0.12366754324994364,0.22375300743417378,0.5526966750886044,0.5804711304857361,0.691742973104215
TPRG1L,249.4216912878703,1.156937634566894,0.2671516906748266,4.330639389346417,1.4867699480083262e-05,0.00024206420953287418
WRAP73,136.10572618407275,-0.09653605417339786,0.13235616676493422,-0.7293657449663588,0.46577796578787345,0.58930394092612
