,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,78.96856203172901,-0.011451442558869504,0.4227931250294256,-0.027085214685249447,0.9783917674073657,0.9831326064950462
NOC2L,366.3486909556762,0.704794064539941,0.17283390159385992,4.077869318694935,4.545029902570796e-05,0.00027594279702101385
KLHL17,94.6219581452483,0.804086730965061,0.21082589727271253,3.8139846260203014,0.0001367439784689002,0.0006536692872447121
HES4,270.13279577758544,0.9968485376883964,0.3540020941390746,2.8159396630483515,0.004863479968946771,0.011114796641106772
ISG15,100.28508113140434,0.7103627028238618,0.2998017737305078,2.3694412944414656,0.017814983029500204,0.032701847098159285
AGRN,327.7464370248944,4.304749194793856,0.5058987467594744,8.509112193631337,1.7527018085544905e-17,5.2851262452120204e-15
C1orf159,742.2734495591136,-0.10392385228489641,0.11396377931529002,-0.9119024738323451,0.3618200591857964,0.43216566567545944
TTLL10,9.780926453693931,1.2387013177526731,0.33383236841447417,3.7105488710871395,0.0002068103655967083,0.0009002626260591748
SDF4,529.7850266389854,0.5455374444799658,0.15165115188671202,3.5973181719549263,0.00032151510229598876,0.0012601163256518119
B3GALT6,89.95063092915412,0.929276357546808,0.22316486214206055,4.164080082442623,3.12610386517009e-05,0.00020455346900755822
UBE2J2,527.686329418427,0.09163319124252786,0.07493027222658544,1.2229128297496856,0.22136262222760683,0.28447150795723886
SCNN1D,243.67674707766633,0.8368226585611263,0.2705994255980567,3.09247758642373,0.0019849322248003637,0.00532923558185132
ACAP3,1750.2002595757594,0.9729519636366094,0.2867561778079575,3.3929590325625063,0.0006914197804448653,0.0023214126425792113
PUSL1,45.00671497081001,0.8075963215719303,0.19728106055242872,4.09363331335755,4.246657251709369e-05,0.00026134660902668697
CPTP,118.43973064532398,1.1364438204051353,0.26660824585028975,4.262598168262545,2.020636825221555e-05,0.00014500097872214567
DVL1,353.6726852813586,0.5510691166873096,0.16812273518008658,3.2777786781604856,0.001046273954867534,0.003186820122633141
AURKAIP1,226.59543957189072,0.9685156541119054,0.22700029047788647,4.2665833249506555,1.9848938054775974e-05,0.00014300325007706694
