,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,78.96856203172901,-0.25999755849922906,0.4483348154789356,-0.5799182876785635,0.5619697226147555,0.7355715106823992
NOC2L,366.3486909556762,-0.5199074943312176,0.17302107160957816,-3.004879633992721,0.002656859675497824,0.033193602765445376
KLHL17,94.6219581452483,-0.06698903370519232,0.22267790406247348,-0.30083377148366813,0.7635412546590064,0.8677537832525088
HES4,270.13279577758544,-0.28618132928938406,0.37536035695145703,-0.7624175648532698,0.44581082618524326,0.6427598264971821
ISG15,100.28508113140434,0.0020772850957614685,0.31789624489986146,0.006534475097105413,0.9947862803108484,0.9977504414953378
AGRN,327.7464370248944,-2.2037869332442988,0.5109180214563788,-4.313386572198754,1.6077264160814305e-05,0.0011933452382750064
C1orf159,742.2734495591136,-0.08717505170214006,0.12089337628836413,-0.7210903887257103,0.4708539040689693,0.6639200591811263
TTLL10,9.780926453693931,-0.7197225293484455,0.3341894268288998,-2.153636445586691,0.03126869378787316,0.15079922572257556
SDF4,529.7850266389854,-0.2724892651594125,0.1579205813962147,-1.7254829152113542,0.08444048011965295,0.25126508872264275
B3GALT6,89.95063092915412,-0.6161344029821673,0.22526245317558932,-2.73518464482804,0.006234529303806961,0.05791949752458406
UBE2J2,527.686329418427,-0.10236668832760386,0.07830218661629904,-1.3073286041068954,0.19110113357366665,0.39576445948565614
SCNN1D,243.67674707766633,-0.5300368174676551,0.28191133283217223,-1.8801543454913079,0.060087045669711354,0.21319731690437127
ACAP3,1750.2002595757594,-0.7751131486639389,0.29298163978267516,-2.645603148507511,0.008154542125774406,0.06810666054729299
PUSL1,45.00671497081001,-0.5838278637544154,0.19486508925464713,-2.9960618702279547,0.002734909373855875,0.03377566405903578
CPTP,118.43973064532398,-0.7532406316934744,0.2707590246582902,-2.7819594661492713,0.005403178795803562,0.053528822649186
DVL1,353.6726852813586,-0.2842929496448545,0.17546875511010973,-1.620191295404448,0.10519119069820415,0.28242224547935507
AURKAIP1,226.59543957189072,-0.6307519206732211,0.22997995837102223,-2.742638641823046,0.006094771509870628,0.05728293690510875
CCNL2,1267.1686815737596,0.2379644018186638,0.10932741471879918,2.176621503679855,0.029508819390785403,0.14540035403149335
MRPL20,382.93454197993077,0.0247277298089497,0.09608361886424688,0.2573563537806234,0.7969036929694026,0.8871536583077839
ANKRD65,140.3704004739191,-0.2909623708455894,0.23908484818179787,-1.21698373217003,0.2236104054162933,0.4348159249049182
VWA1,501.5798930693306,-0.2715870853496634,0.2858155229964055,-0.9502181074786443,0.34200143973810304,0.553638340431399
ATAD3C,130.14927375474832,-0.34853980557385444,0.3100137521282892,-1.1242720788386915,0.26089761956921476,0.47455904628222106
ATAD3B,436.9943083696627,-0.30746202003460876,0.1765969534843806,-1.7410380755056611,0.08167690461030327,0.2479428517889114
ATAD3A,272.8207110698749,-0.40738645143590035,0.17246677824965828,-2.3621155075221423,0.01817097958765151,0.10976909789301667
TMEM240,73.1528360724703,0.09470322667791436,0.281865255534799,0.33598758562217446,0.7368802280897424,0.8512054606042244
SSU72,553.7834314638229,-0.5347532343696986,0.15320812273296103,-3.4903712990581033,0.0004823498793702161,0.010932633972517326
MIB2,608.7710634441902,-0.4729983901735296,0.24254981909772977,-1.9501081960524818,0.05116322457971113,0.19627259808288866
MMP23B,175.6836705531915,-2.3970201750064266,0.5335801772094513,-4.492333631175173,7.044694701022278e-06,0.0006843282624335332
CDK11B,572.190201641746,-0.23812865309390388,0.15262587586418108,-1.5602115417559348,0.1187098990342497,0.3014927318164117
SLC35E2B,422.75599602040376,0.32984641748073684,0.13941507705531592,2.365930747575194,0.01798480821241095,0.10917281519935658
CDK11A,134.71303181367853,-1.6850458059142148,0.7801615687871517,-2.159867741926594,0.030782909618870483,0.1491137328726678
NADK,355.36593073460483,-0.011901623726814902,0.13041251335620804,-0.0912613630434901,0.9272849176569902,0.9598195684407458
GNB1,3087.941192160814,0.1740404261772875,0.0896709872157789,1.9408777753108373,0.05227310434163074,0.19868721434893993
CFAP74,215.03076050099347,-0.349108840021553,0.18501922641553528,-1.8868787140936818,0.05917664072006432,0.21185325198669577
GABRD,359.1160004667746,-1.221051675174829,0.46358963437030504,-2.6339063357906753,0.008440876934784977,0.0697335917546106
PRKCZ,901.8944602654125,-0.21541114215767398,0.3791960997901015,-0.5680732008501977,0.569985264062932,0.7412457873301849
FAAP20,329.47479066445993,-0.2580967891221679,0.17895965380742845,-1.4422065735548182,0.14924410670772156,0.3420138062836545
SKI,1384.7343354255063,0.26055174589354035,0.16919895414336922,1.5399134540321342,0.12358145084831411,0.30792183156799763
MORN1,260.89301990945876,-0.09400423099085858,0.17449793028308602,-0.5387125843748208,0.5900851890413237,0.7569029622637469
RER1,494.02397722180507,-0.21917504892418388,0.11171779410142293,-1.9618633780506438,0.04977839251053112,0.1940981824346518
PEX10,139.13622914231033,-0.25636321587725547,0.14215377680353963,-1.8034217707177516,0.07132200108521188,0.23117626661333285
PLCH2,298.99672910842116,-1.0334528166199672,0.42417543358150467,-2.4363806453713233,0.014835064323187675,0.09733577561823137
PANK4,128.80961549392245,-0.1711883594658801,0.15644470326825502,-1.0942419646662258,0.2738488710013167,0.48684236716985035
TNFRSF14,151.4627321164569,-0.27743925345211656,0.23017145957155896,-1.2053590569766637,0.22806472007933765,0.4398998878502576
TTC34,88.10167295286846,0.20066869225359749,0.23459037829937657,0.8554003523431412,0.39232954862723035,0.5982106281520994
LINC00982,588.5598637359716,0.5691119301302628,0.4380347216221164,1.2992393114928094,0.19386181433598948,0.39909643013066287
PRDM16,2160.280758921424,0.30583551097902667,0.4202312028307682,0.7277791580416985,0.46674878483076276,0.6604479334871894
MEGF6,53.14816172395991,0.07907087351103123,0.18488909578258114,0.4276665055683651,0.6688939388680726,0.8078747389165958
TPRG1L,234.81063346718796,-0.7791246404850345,0.2060216812587215,-3.7817604231013524,0.00015572319643102574,0.0055108497436251016
WRAP73,157.59527986880934,0.14806555216823297,0.09908540913843321,1.4943224583285428,0.1350913578929972,0.32421029914495797
TP73-AS1,143.11447608744635,0.09022808477329622,0.1039488713483133,0.8680044679942577,0.3853918866919208,0.5915963694961143
LRRC47,233.8016321146308,-0.2563347381051898,0.11518976909790342,-2.2253255659130873,0.02605939037616702,0.13435859267877157
CEP104,663.1042023054221,0.15859527343149799,0.10679848076178171,1.484995594508981,0.13754499112397475,0.3270619683798933
DFFB,243.6883338746085,0.28998595278722006,0.16087475502118767,1.8025572299956452,0.07145777913382301,0.23128860898959624
C1orf174,108.48452458854011,0.03649919787644914,0.13072753988327634,0.2792005258344068,0.7800909401207587,0.8765503258754336
AJAP1,811.3830160401878,-0.057431549793119645,0.3828534833572055,-0.15000921315775395,0.880757346463925,0.9344807558064869
NPHP4,642.788622996037,0.18848942694806536,0.11596793137376213,1.6253581892443008,0.10408625931607648,0.2811241868521909
KCNAB2,793.1402335109392,-0.4080485411342388,0.29290443347938844,-1.3931115220314785,0.16358606941628318,0.3606068791853918
CHD5,1645.18323938388,-1.209424139545584,0.5055483817128639,-2.3923014755737073,0.016743083212980927,0.10495426003667646
RPL22,287.7472530111292,-1.4983276375681207,0.34376057498843193,-4.358637221905222,1.3087485118432249e-05,0.0010465649701888859
RNF207,118.65789829808378,-0.39770810480756574,0.24558627988099913,-1.6194231412287303,0.10535625109327403,0.2826554918116864
ICMT,151.01320913879619,-0.387153562374297,0.1372913024382982,-2.8199423816253217,0.004803227320342588,0.04938917638769633
GPR153,70.8985347052467,-0.7054489370018096,0.3305183305524148,-2.1343715969481964,0.03281237469695347,0.155059813535816
ACOT7,688.897157822456,-0.21211815657465088,0.209293336939564,-1.0134969401147373,0.31082285694748135,0.5242803905672818
ESPN,24.547629009183115,-1.2909729046511476,0.3686018857223719,-3.502350244685125,0.0004611729513054286,0.010757132661940666
TNFRSF25,469.3239503572746,-0.6281997287756994,0.33147338084040695,-1.8951739870724522,0.058069355207944366,0.2098616347764761
PLEKHG5,330.0559758383806,-0.5522434624417533,0.314614565337957,-1.7553016397970538,0.07920772615731787,0.24430184836788107
NOL9,484.11454975446014,-0.0027467993079066566,0.09984969775491169,-0.027509340235048828,0.9780534902375086,0.9894470677178832
TAS1R1,54.26213185839758,-0.8019796637265256,0.2479890104188644,-3.2339322713210015,0.00122098407046363,0.019828398789305493
ZBTB48,219.44705568955604,-0.251872259487183,0.16313897497857632,-1.5439122350760095,0.12260959566047881,0.30644988561384395
KLHL21,546.9226988015275,0.06462347313632673,0.19414433689956953,0.33286303462849043,0.7392376738616384,0.8521841864449489
PHF13,152.87278418053054,-0.024423550231683303,0.151797401528641,-0.16089570694709876,0.8721755436131797,0.9304148598361706
THAP3,161.35976680607735,-0.2260798399651313,0.1193449051292284,-1.8943401037549845,0.058179881129458405,0.2101092953116942
DNAJC11,743.8532071609428,0.043778296886212646,0.0836211498371541,0.5235313909395839,0.6006045121115131,0.7638300420263633
CAMTA1,8563.060957387139,0.20442795866030858,0.10801345735442243,1.8926156394524354,0.05840900241042088,0.21045852648454863
VAMP3,269.75329769060795,-0.055155024702212715,0.11393651187520162,-0.48408559990519817,0.6283251205170516,0.7825140074310623
PER3,2328.2373558545823,0.1352224627282926,0.20487586683273393,0.660021430628976,0.509240076813672,0.6938664680201608
TNFRSF9,10.742003757885817,-1.0982659763339615,0.34250138280692144,-3.206603042981253,0.001343121926158985,0.02115380496107198
PARK7,433.05258700093714,-0.00961889985321792,0.12005913610399839,-0.0801180165488262,0.9361433936749678,0.9647657404051557
ERRFI1,511.03354853905324,0.1644978256305799,0.14622406417701334,1.1249709584835847,0.26060134091282683,0.474339010107175
SLC45A1,182.23172232947587,-0.41693683419893307,0.18040691136665565,-2.3110912494453073,0.02082781522897218,0.11849619406256691
RERE,10410.989914790169,0.39351779044766266,0.14920346171391546,2.637457508876024,0.00835300895584109,0.06928449949962404
ENO1,1496.5215588868034,-0.03469347860906441,0.21437023430805185,-0.16183906651522145,0.8714325879228287,0.930091972719069
CA6,15.987329165118402,-1.3716892512490513,0.36214149373115023,-3.7877163346196885,0.00015203828835249985,0.005420202427620893
SLC2A5,720.4903260940813,0.4198542794045927,0.3430945986568802,1.223727453152003,0.22105505967174743,0.4323104099617515
MIR34AHG,458.6106419114221,0.20158249316413152,0.2049347892505891,0.9836421327061337,0.3252915014509332,0.5370445069009704
H6PD,459.9349358861611,0.2716378254211978,0.1472078633622776,1.8452670884346638,0.06499869554612417,0.2218323789989628
SPSB1,341.8554658025261,0.6376245630657862,0.31432782721644537,2.028533613178064,0.04250581630175283,0.1785193519821801
SLC25A33,753.1951341660996,-0.09050758052030039,0.2114331858064341,-0.42806705189203154,0.6686023038518105,0.8076572981097567
TMEM201,168.94348029256724,-0.5035151629526062,0.2181115993924962,-2.308520795569981,0.020970187560284622,0.11874901985428779
PIK3CD,533.6919282505855,0.22784766670463685,0.21382922617982408,1.0655590481023565,0.2866230196920716,0.49862759459411593
