,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAMD11,78.96856203172901,-0.048677155087004216,0.4257617281512267,-0.11432956949506398,0.9089765431094076,0.9263756444539659
NOC2L,366.3486909556762,0.6072149639348048,0.16446288777124826,3.692109339460105,0.0002224018062075036,0.0010698051655192446
KLHL17,94.6219581452483,0.7942798317323626,0.2128262422891753,3.732057772523859,0.00018992192775992044,0.0009558171009725621
HES4,270.13279577758544,0.8541629855176174,0.35655930775352895,2.395570573936766,0.016594519277936617,0.0319655405947371
ISG15,100.28508113140434,0.7115668939167697,0.30273452867595363,2.350464933844495,0.018749974268440717,0.03536449407889118
AGRN,327.7464370248944,3.118926896686813,0.48517827987929774,6.428414102673221,1.2894208111651935e-10,1.8478293881985162e-08
C1orf159,742.2734495591136,-0.10752103111636693,0.11486867662277421,-0.9360343853308526,0.34925548399647877,0.42249259301003206
TTLL10,9.780926453693931,1.031884435577234,0.3226421405756757,3.1982320528127217,0.0013827296462574946,0.004296614190624942
SDF4,529.7850266389854,0.49512005433165784,0.15012139824820947,3.298131113280936,0.000973306748695165,0.003304630983019896
B3GALT6,89.95063092915412,0.7982932908720539,0.21463588138314108,3.719290948595127,0.00019978281951182227,0.0009902933320596287
UBE2J2,527.686329418427,0.08063189912890471,0.07463329142143621,1.0803744226366196,0.2799754808682319,0.3499107413908542
SCNN1D,243.67674707766633,0.67812202155443,0.26782465394307814,2.531962653813618,0.011342607135605729,0.02336980721434268
ACAP3,1750.2002595757594,0.8289456313471857,0.2781065431821355,2.980676476943941,0.00287612465647825,0.007725090336360258
PUSL1,45.00671497081001,0.7200164523354545,0.186528670095828,3.8600846291647843,0.00011334776218864501,0.0006484567232879241
CPTP,118.43973064532398,0.9334249711248855,0.2575214780017686,3.6246490132309463,0.00028935414791518284,0.0012918297152758656
DVL1,353.6726852813586,0.5049288285766987,0.1668550640001501,3.0261522573641786,0.0024768754396609217,0.006845578597222108
AURKAIP1,226.59543957189072,0.8601253023377798,0.21864401473350742,3.9339073762715935,8.35760004870939e-05,0.0005200683710447967
CCNL2,1267.1686815737596,-0.12894248272453832,0.10390085850255491,-1.2410146035642973,0.21460035413463507,0.27940321361380843
MRPL20,382.93454197993077,0.0798760318024123,0.09162572026468545,0.8717642990600127,0.38333697451495097,0.4570361918557991
ANKRD65,140.3704004739191,0.10724700187427486,0.22722181870806582,0.47199253348141534,0.6369321180351246,0.696348325133348
VWA1,501.5798930693306,-0.1125401926416503,0.2713269437130573,-0.414777062320311,0.6783051126263556,0.7340951248806543
ATAD3C,130.14927375474832,-0.21647734536283003,0.2943115316817771,-0.7355381018399751,0.4620118440480707,0.5353582123730507
ATAD3B,436.9943083696627,0.46205870113895553,0.16784528078026914,2.7528846744511646,0.005907270152818234,0.0137462746289214
ATAD3A,272.8207110698749,0.6353577120856213,0.16409905590532495,3.8717938295280843,0.0001080373183492207,0.0006280125290097866
TMEM240,73.1528360724703,0.24448236680244678,0.2685819658919122,0.9102709706906976,0.3626796239408999,0.4357454035793629
SSU72,553.7834314638229,0.6014315112703693,0.14559066293177136,4.130975841165172,3.6122654708788706e-05,0.00028004247683717607
MIB2,608.7710634441902,0.7800874780377239,0.2303611736211133,3.3863670069712937,0.0007082459586517048,0.002576313648033369
MMP23B,175.6836705531915,3.483124183226352,0.5070135831722762,6.869883369658826,6.4254415087763e-12,1.8235654980005524e-09
CDK11B,572.190201641746,0.28321869010648265,0.14503944060320334,1.9527012027115298,0.05085501110664751,0.08233505936886085
SLC35E2B,422.75599602040376,-0.18555780827623336,0.13264464263400344,-1.3989091801334887,0.1618402193403371,0.2204890187059525
CDK11A,134.71303181367853,2.6829329765450995,0.7410264617994275,3.6205629823665935,0.0002939626796118706,0.001305558706567111
NADK,355.36593073460483,-0.18702731188865054,0.12401473534559294,-1.50810555993576,0.13152751245708222,0.18445201194688576
GNB1,3087.941192160814,-0.2959829320409185,0.08516225203508056,-3.475517908086736,0.0005098679492942224,0.0020021239007283168
CFAP74,215.03076050099347,0.423491097068846,0.1759904685472582,2.406329732312334,0.01611371348968165,0.031234751446317426
GABRD,359.1160004667746,2.5042462520991817,0.4404410218746394,5.68576978011815,1.3022472891648954e-08,6.477225863701958e-07
PRKCZ,901.8944602654125,0.7046019074617352,0.35998775073819445,1.9572941190828619,0.05031289853479321,0.08158513257815336
FAAP20,329.47479066445993,0.2594969141972104,0.17009991730589896,1.5255557927788082,0.12712052873260135,0.1793141538715205
SKI,1384.7343354255063,-0.30085080728935565,0.16066374792796784,-1.8725494155921185,0.06113063206702833,0.09608043962842525
MORN1,260.89301990945876,0.28801242185501963,0.16603268553524095,1.734673030955029,0.08279873578416128,0.12408665373161631
RER1,494.02397722180507,0.14546809695743199,0.10625954226304,1.368988552551198,0.1710028532636899,0.23103661888720692
PEX10,139.13622914231033,0.24661398813413074,0.13554930692608674,1.8193673853943502,0.06885539906095518,0.10627138473110101
PLCH2,298.99672910842116,0.9199081737412511,0.4026576714006356,2.2845912025998945,0.022336809264600913,0.040991882502324536
PANK4,128.80961549392245,0.6848507857221791,0.1497034166644367,4.574717137266721,4.768638138183709e-06,6.070472155854969e-05
TNFRSF14,151.4627321164569,0.49144540907107404,0.2190069310837852,2.2439719448105615,0.024834206497376006,0.04484160489558637
TTC34,88.10167295286846,-0.35133348253311397,0.22326306454128295,-1.5736301177042649,0.11557298622819936,0.16528044685969348
LINC00982,588.5598637359716,-0.7695510642133225,0.4158186781278661,-1.8506890255100135,0.06421430379310418,0.10024135387202221
PRDM16,2160.280758921424,-1.1379073555353805,0.3988619850245275,-2.8528849533389504,0.004332430321125651,0.010724747129805486
MEGF6,53.14816172395991,0.11659650718755545,0.17715035048625669,0.658178247277027,0.5104236008126922,0.5812644530419281
TPRG1L,234.81063346718796,0.9551338031624258,0.19589126739113644,4.875836559142315,1.0834829233522258e-06,1.9627449102127808e-05
WRAP73,157.59527986880934,-0.08887325726498481,0.09490079766428351,-0.9364858826516775,0.34902307782827413,0.4222907191695525
TP73-AS1,143.11447608744635,-0.15111723505375435,0.09941784803327935,-1.520021183753334,0.12850565162625022,0.1808449977285703
LRRC47,233.8016321146308,0.2579435499297035,0.10980570517108629,2.349090600782594,0.018819326967948153,0.03547680887393612
CEP104,663.1042023054221,-0.14976513444831124,0.10158741406763622,-1.4742489098954585,0.14041458543473057,0.19547568621547468
DFFB,243.6883338746085,-0.04180126687445636,0.1532087670937873,-0.2728386088301824,0.7849772795312373,0.8249899175090857
C1orf174,108.48452458854011,-0.018752200096007386,0.12499259419177469,-0.15002648930732732,0.8807437163325759,0.9042335473256988
AJAP1,811.3830160401878,0.6662087524225158,0.3634772948505844,1.8328758408317527,0.06682103728980746,0.10362881107175326
NPHP4,642.788622996037,-0.08955598423343478,0.11030627506297448,-0.8118847652348585,0.4168577570238595,0.4909756021778292
KCNAB2,793.1402335109392,1.3102426818411406,0.2781835095242009,4.709994075788861,2.4772399193544717e-06,3.618120140538509e-05
CHD5,1645.18323938388,2.6870123066095775,0.4799376501887119,5.59866954708188,2.160030856010196e-08,9.445403809634917e-07
RPL22,287.7472530111292,2.0265334242889006,0.32656131992603016,6.205675016097844,5.446262202271493e-10,5.590723341537418e-08
RNF207,118.65789829808378,0.8749180063764251,0.23397711296030513,3.7393315752419656,0.000184510221880303,0.0009341031659655495
ICMT,151.01320913879619,0.5393407436826513,0.13106404156464677,4.115093180738088,3.870230352175153e-05,0.00029376147430192854
GPR153,70.8985347052467,1.506306635345457,0.31534113497275085,4.776752755315667,1.7814859139890692e-06,2.8555068791891237e-05
ACOT7,688.897157822456,0.5285522046022869,0.19880262791923056,2.658678158002151,0.007844786209820225,0.017232574836991643
ESPN,24.547629009183115,1.14871713265385,0.350189039051038,3.2802772347378673,0.0010370512580664879,0.0034641772234605
TNFRSF25,469.3239503572746,1.5479711120345558,0.3148954712814982,4.915825260156758,8.840923031600289e-07,1.6859488795702582e-05
PLEKHG5,330.0559758383806,1.0648324101698736,0.2988828631335643,3.562708142601079,0.00036704867842902344,0.0015484297789512345
NOL9,484.11454975446014,-0.0558904165738649,0.09504413648390476,-0.5880469710336066,0.5565007655212582,0.6241889858162339
TAS1R1,54.26213185839758,0.7414030854192641,0.23605722112308522,3.140776977259598,0.0016850029277163299,0.005013100180013599
ZBTB48,219.44705568955604,0.12930090245159975,0.15515466247608908,0.8333678175576988,0.404637319181927,0.4784902416535304
KLHL21,546.9226988015275,-0.20220612090028697,0.1843963389014604,-1.096584249475495,0.27282317580531434,0.34266851233416223
PHF13,152.87278418053054,0.11453087769581087,0.14474736888405507,0.7912466981527789,0.42880004579345377,0.5029132049926627
THAP3,161.35976680607735,0.14928860729521287,0.11384028910142154,1.3113864034745208,0.18972725007525104,0.2520062602174161
DNAJC11,743.8532071609428,-0.06727149037418925,0.07959463543525198,-0.8451761856351832,0.3980124765181672,0.4716967645233728
CAMTA1,8563.060957387139,-0.31869017682620615,0.10253586748405052,-3.1080848550462448,0.0018830399376059642,0.005471816915661258
VAMP3,269.75329769060795,-0.22572399183443353,0.10841967289269247,-2.0819468073643987,0.0373473286704328,0.06326840299342748
PER3,2328.2373558545823,-0.6335289114219887,0.1944725937982775,-3.2576770795741816,0.0011232815041498638,0.0036883794217479875
TNFRSF9,10.742003757885817,1.0604748134268296,0.32690885330362246,3.243946447794409,0.0011788590770765153,0.0038181639697475057
PARK7,433.05258700093714,0.22925638819018457,0.11431720892628329,2.005440741105034,0.04491594991200755,0.07398582667877515
ERRFI1,511.03354853905324,-0.3234005281476515,0.13896287664146031,-2.3272440522518894,0.01995227962968015,0.03724871602734303
SLC45A1,182.23172232947587,0.623963208969769,0.17177869343167584,3.632366718506608,0.0002808336350955467,0.0012623559112959451
RERE,10410.989914790169,-0.4551954172400887,0.14162544309576328,-3.214079386373379,0.0013086348701934942,0.004127518219912973
ENO1,1496.5215588868034,-0.13719680588884145,0.20350603040812612,-0.6741658004615233,0.5002059097640409,0.5717880538560044
CA6,15.987329165118402,0.7860719000984885,0.34187784297644824,2.2992771138802364,0.021489208549661434,0.03966268866970156
SLC2A5,720.4903260940813,-0.7507544818576459,0.3256970232084448,-2.3050701368466795,0.0211626456772596,0.03916983804765415
MIR34AHG,458.6106419114221,-0.05251687053984252,0.1947172284090844,-0.26970839185071505,0.7873846039661694,0.8270395324968313
H6PD,459.9349358861611,-0.5752816636982734,0.13988744010642362,-4.11246115634549,3.914633514632823e-05,0.00029587679107465005
SPSB1,341.8554658025261,-0.5807049634729071,0.2985284974319878,-1.945224554668206,0.05174795777941992,0.08352214125042745
SLC25A33,753.1951341660996,-0.6921537072826787,0.2006891073908187,-3.4488852747488177,0.0005629058067444495,0.002161363872099373
TMEM201,168.94348029256724,0.5901032132554261,0.2074319856744054,2.8448033765712424,0.0044438845218682695,0.010935189488187919
PIK3CD,533.6919282505855,-0.43554551103787886,0.2030698138334494,-2.1448067677606564,0.03196829988153832,0.05550733834997428
PIK3CD-AS2,26.636996142032682,0.32731180100676194,0.26934880592951393,1.2151967775658763,0.2242910491846799,0.28998558694944676
CLSTN1,3131.5503896977048,0.7196381300018545,0.1558762222316252,4.616728066019614,3.898375586286021e-06,5.17186876589403e-05
CTNNBIP1,621.8128215509969,-0.30191177892664184,0.09752078517876676,-3.0958710840279124,0.0019623565777060143,0.005657997829824074
LZIC,375.1089095451549,-0.20328653159707355,0.07837346053016656,-2.593818497000359,0.009491658001946589,0.020206244730133098
NMNAT1,309.5510448136804,0.11801173900124867,0.09749241598872505,1.2104709664277546,0.22609822499468601,0.2920872642425103
RBP7,78.03627211370622,0.3297948780472518,0.35224085089403584,0.9362766334744733,0.3491307756646015,0.42237703501917767
UBE4B,3291.9122743266844,-0.30168228508854295,0.17488349863358046,-1.7250471739511222,0.08451897140102727,0.12633766312697187
KIF1B,9308.168826980036,-0.3585783658219403,0.12034626407463728,-2.979555440121967,0.0028866698774291195,0.0077459510207469546
PGD,374.4555669876652,-0.14489014907906633,0.14961883601289597,-0.9683951094672195,0.3328470809776607,0.4056267281359485
DFFA,420.59954238644906,-0.204847420268828,0.10782411164639688,-1.8998294272121028,0.05745550780448394,0.09120542004409965
PEX14,1110.343382114423,-0.25028327051219257,0.0636372789316841,-3.932966253646337,8.390402072802837e-05,0.0005214370098829896
CASZ1,75.41194170128423,0.11460462903233642,0.20019890107089147,0.5724538367558488,0.5670145517348937,0.6332543771292461
C1orf127,10.111671187436194,0.712253783669066,0.30002978228935956,2.373943607312099,0.01759923816474723,0.03357471638283266
MASP2,132.7439387359225,1.0898138036906593,0.3489704987459326,3.122939639903763,0.0017905446481944066,0.005269691589663652
SRM,408.82701215147716,0.5479424062672148,0.1891185911811231,2.897348181609698,0.0037633183364421154,0.009569614587750443
EXOSC10,752.9319892630458,-0.06604025557632712,0.11488222185066808,-0.5748518309662469,0.5653915094496285,0.6318311232067575
MTOR,1166.173699781341,-0.27780430049015076,0.07496145694812399,-3.7059618609387655,0.00021058998985989838,0.001023532408741494
UBIAD1,189.6468985824137,-0.2949758267303207,0.12768814832080633,-2.3101269037845027,0.02088112936235365,0.03872801978353494
FBXO2,538.7476663097598,1.0442500054789101,0.23602126898755876,4.424389420319382,9.671542648715287e-06,0.0001045451144865609
FBXO44,746.3237766093038,1.3704054780708288,0.23486685684635342,5.834818485978754,5.384915653388e-09,3.3166497517931025e-07
FBXO6,76.60065085087996,0.1262740369790174,0.15564616324509026,0.8112891082331297,0.41719966340673786,0.49121841114041515
MAD2L2,115.88516308308691,0.8239098470029854,0.18096749501475184,4.552805723126261,5.2935153285964365e-06,6.571041240660791e-05
DRAXIN,56.47733427614945,0.9914757838702607,0.2491457423964991,3.9795012121555424,6.906000800595697e-05,0.0004494489909524376
AGTRAP,126.71756559529142,-0.5050558711515559,0.24516269798628623,-2.060084487974624,0.039390464543063046,0.06615660057975105
C1orf167,18.819849473911923,0.43010120380937006,0.27964523174684497,1.5380244502031368,0.12404263666161627,0.1755199064464008
MTHFR,490.9380638823258,-0.0904501613736187,0.10466221461414088,-0.8642102759537635,0.38747238824246344,0.46090362815757857
CLCN6,538.7202379057021,-0.5566669082819624,0.20312176820773606,-2.740557613266983,0.006133502777592913,0.014140860019573083
KIAA2013,334.2797683299129,0.2682006259844832,0.11999588564440127,2.2350818492166926,0.02541197576079423,0.0457080821625122
PLOD1,368.8922789874333,-0.1709121628768809,0.1738983447061995,-0.9828280031396289,0.32569209710434865,0.39826244574362635
MFN2,470.0635129366764,0.25556965462758297,0.10680917257354079,2.3927687900738754,0.016721774863541962,0.032150766388802654
MIIP,228.54440206447126,0.06652635482201025,0.19946300731113198,0.3335272826717149,0.7387362986416144,0.7854010435860559
TNFRSF8,38.444460720791916,0.44710859375071405,0.2715891416840671,1.646268296951372,0.09970853354637034,0.14543800408648236
TNFRSF1B,541.3038974439252,-1.1092457430402307,0.37374457048025134,-2.9679247021966924,0.0029981776772561634,0.007987414632911045
VPS13D,3525.377832211378,-0.26142352257132073,0.09842035699465504,-2.656193602158118,0.007902822973479471,0.017333756587080144
DHRS3,708.9565429986701,-0.5458537604907688,0.31299050904863457,-1.7439946091335006,0.08116002986304394,0.12195912294826598
