"marker","count"
"Abca1","2"
"ACSBG1","1"
"ACSL6","1"
"ADCYAP1R1","1"
"Add3","1"
"Adk","1"
"Aebp1","1"
"Aff1","1"
"Agt","2"
"ALDH1A1","3"
"ALDH1L1","7"
"ALDOC","6"
"Angpt1","1"
"Ank2","1"
"ANLN","1"
"Aplp2","1"
"Apoe","2"
"AQP4","22"
"Arhgap6","1"
"ARHGEF26","1"
"Arhgef4","1"
"Aspg","1"
"ATF3","1"
"ATP13A4","2"
"Atp1a1","1"
"ATP1A2","2"
"ATP1B2","3"
"Atp6ap2","1"
"Atp6v0e","1"
"Atraid","1"
"b-catenin","1"
"B2m","1"
"BBOX1","1"
"Bcap31","1"
"Bcl2","1"
"Birc6","1"
"BMPR1B","2"
"BTG2","1"
"C16orf89","1"
"C1orf61","1"
"C1qa","1"
"C4b","1"
"CA12","1"
"Cacna2d3","1"
"Cacnb2","1"
"Cadm2","1"
"Cadps","1"
"CASQ1","1"
"Cav2","1"
"CBS","2"
"CD109","1"
"Cd151","1"
"CD40","1"
"CD44","2"
"CD49f","1"
"Cd63","1"
"CD80","1"
"Cd81","1"
"CD86","1"
"CD88","1"
"Cd9","1"
"CDC42EP4","1"
"Cdh2","1"
"Cdk5rap3","1"
"Cebpb","1"
"CHI3L1","2"
"Chil1","1"
"Chl1","1"
"CHRDL1","2"
"Chst2","1"
"CHST9","1"
"Ckb","1"
"Cldnd1","1"
"Clic1","1"
"CLU","7"
"Cnn3","1"
"COL12A1","1"
"Col16a1","1"
"Cpe","2"
"CPNE5","1"
"Cpne8","1"
"CPVL","1"
"Cryab","2"
"Csmd1","1"
"CST3","3"
"CTH","1"
"Ctnnbip1","1"
"Ctsb","1"
"Ctsd","1"
"Ctsl","1"
"CYBRD1","1"
"Cyp7b1","1"
"Cyr61","1"
"Daam2","1"
"DAND5","1"
"Dapk1","1"
"Dbi","1"
"Ddr1","1"
"Degs1","1"
"DGKG","1"
"Dgki","1"
"Dhrs1","1"
"DIO2","2"
"DKK3","1"
"Dlgap1","1"
"DNAJB1","1"
"DNASE2","1"
"DOK5","1"
"Dpyd","1"
"Dst","1"
"DTNA","1"
"EAAT1","2"
"EAAT2","2"
"EDNRB","1"
"Eef2","1"
"EEPD1","1"
"Efcab14","1"
"EFEMP1","1"
"Efr3b","1"
"EGLN3","1"
"Enox1","1"
"Enpp5","1"
"EPAS1","1"
"Epdr1","1"
"Erbb2ip","1"
"ETNNPL","1"
"Ezr","2"
"F3","2"
"FABP7","2"
"FAM198B","1"
"Fars2","1"
"Fbxo2","1"
"Fgfr1","1"
"FGFR3","1"
"Fos","2"
"FOSB","1"
"Fstl1","1"
"Fth1","2"
"Ftl1","1"
"Fxyd1","1"
"Fxyd7","2"
"Gab2","1"
"Gabrb1","2"
"GADD45B","1"
"Gadd45g","1"
"GATSL3","1"
"Gdpd2","1"
"GFAP","43"
"Ggta1","1"
"GJA1","2"
"GJB6","1"
"GLAST","4"
"GLI3","1"
"Glis3","2"
"GLT-1","2"
"GLUL","3"
"Gm10116","1"
"Gm14964","1"
"Gm2a","1"
"Gm3448","1"
"Gm4876","1"
"Gna13","1"
"Gnai2","1"
"Golgb1","1"
"Gpc5","1"
"Gpm6b","1"
"Gpr37l1","1"
"GPR75","1"
"Gpx4","1"
"GRAMD3","1"
"GRIA1","1"
"Grid2","1"
"Grik2","1"
"Grin2c","1"
"Grm3","1"
"Grm5","1"
"GS","2"
"Gsn","1"
"Gsr","1"
"Gstm1","1"
"H2-D1","1"
"H2-K1","1"
"HEPACAM","3"
"HEPN1","2"
"HERV-W","1"
"HEY1","1"
"HGF","1"
"HIF1A","1"
"HIF3A","1"
"Hist1h2bc","1"
"Hivep2","1"
"HLA-E","1"
"Hmgcll1","1"
"HNMT","1"
"Hnrnpk","1"
"Hopx","1"
"Hrsp12","1"
"Hsd17b12","1"
"Hsd17b4","1"
"Hspa2","1"
"Hspa5","1"
"HSPB8","1"
"HSSD17B6","1"
"Id1","2"
"Id2","1"
"Id3","1"
"Id4","2"
"Idh2","1"
"IER2","1"
"Ifitm3","1"
"Igfbp5","1"
"IGFBP7","1"
"IL-17","1"
"IL11RA","1"
"IL33","1"
"IQCK","1"
"ITGA1","1"
"ITGA6","1"
"ITGA7","1"
"ITGB4","1"
"Itgb8","1"
"Itih3","1"
"Itm2b","1"
"Itm2c","1"
"Itpkb","1"
