"marker","count"
"2810422J05RIK","1"
"4930556M19RIK","1"
"5430435G22RIK","1"
"A1BG","1"
"ABI3","1"
"AC119211.1","1"
"AC134452.1","1"
"AC151602.1","1"
"AC154650.1","1"
"ACACA","1"
"ACD","1"
"ACTR3B","1"
"ADAM8","1"
"ADAMTS13","1"
"ADORA3","4"
"ADRB2","2"
"ADSSL1","1"
"AIF1","10"
"AKR1A4","1"
"AL663027.1","1"
"AL928935.1","1"
"ALDOA","1"
"ANK","1"
"ANKRD26P3","1"
"anti-Iba1","1"
"ANXA3","1"
"ANXA5","1"
"APBB1IP","3"
"APBB2","1"
"APLP2","1"
"APOC4","1"
"APOE","3"
"AQP6","1"
"ARHGDIB","1"
"ARRDC4","1"
"ARSA","1"
"ASAH1","1"
"ASPH","1"
"ASTN1","1"
"ATOH8","1"
"ATOX1","1"
"ATP1A3","1"
"ATP1B3","1"
"ATP6V0C","1"
"ATP6V0D2","1"
"AXL","1"
"B2M","2"
"BA1","1"
"BAIAP2L2","1"
"BAMBI","1"
"BCL2A1","1"
"BCL2A1D","1"
"BHLHE40","1"
"BHLHE41","3"
"BIN1","3"
"BST2","1"
"C1QA","2"
"C1QB","2"
"C1QC","1"
"C3","1"
"C3AR1","1"
"CADM1","1"
"CAPG","1"
"CBX6","1"
"CCK","1"
"CCL2","1"
"CCL3","2"
"CCL4","4"
"CCL6","1"
"CCND1","1"
"CCT3","1"
"Cd-68","1"
"CD11B","4"
"CD14","2"
"CD163","2"
"CD26","1"
"CD300LB","1"
"CD34","1"
"CD40","1"
"CD45","1"
"CD5","1"
"CD52","1"
"CD63","1"
"CD63-PS","1"
"CD64","1"
"CD68","8"
"CD74","7"
"CD83","2"
"CD9","1"
"CECR2","1"
"CH25H","1"
"CHCHD5","1"
"CHST2","1"
"CLDN15","1"
"CLEC7A","1"
"COLEC12","1"
"COX4I1","1"
"COX6A1","1"
"COX6A2","1"
"COX8A","1"
"CPD","1"
"CREG1","1"
"CRLF2","1"
"CSF1","1"
"CSF1R","13"
"CSF2RA","1"
"CST7","1"
"CSTB","1"
"CTBP1-AS","1"
"CTSA","1"
"CTSB","2"
"CTSD","1"
"CTSE","1"
"CTSL","1"
"CTSZ","1"
"CX3CR1","19"
"Cx3cr1-GFP","1"
"CX3XR1","1"
"CXCL14","1"
"CXCL16","1"
"CXCR4","1"
"CYBB","1"
"DKK2","1"
"DLX6-AS1","1"
"DNAJB14","1"
"DNAJB4","1"
"DOCK8","1"
"DPP7","1"
"DPYD","1"
"DPYS","1"
"ECM1","1"
"EEF1A1","1"
"EEF1B2","1"
"EGLN3","1"
"EMP2","1"
"EPHX1","1"
"ETL4","1"
"F4/80","1"
"FABP3","1"
"FABP5","1"
"FAM109A","1"
"FAM20C","1"
"FAM46C","1"
"FBRSL1","1"
"FCER1G","3"
"FCGR1A","3"
"Fcrls","3"
"FKBP5","1"
"FLT1","1"
"FOXP1","1"
"FTH1","1"
"FTL","1"
"FXYD6","1"
"GALK1","1"
"GAS2L1","1"
"GAS2L3","1"
"GAS7","1"
"GBA","1"
"GFAP","1"
"GLB1","1"
"GLT1D1","1"
"GM10012","1"
"GM10059","1"
"GM10073","1"
"GM10076","1"
"GM10086","1"
"GM10116","1"
"GM10136","1"
"GM10154","1"
"GM10186","1"
"GM10269","1"
"GM10275","1"
"GM10288","1"
"GM10443","1"
"GM10925","1"
"GM11263","1"
"GM11361","1"
"GM11410","1"
"GM11428","1"
"GM11478","1"
"GM11741","1"
"GM11953","1"
"GM12005","1"
"GM12334","1"
"GM12630","1"
"GM13047","1"
"GM13048","1"
"GM13192","1"
"GM13196","1"
"GM13226","1"
"GM13340","1"
"GM13341","1"
"GM13408","1"
"GM13436","1"
"GM13456","1"
"GM13532","1"
"GM13570","1"
"GM13826","1"
"GM13841","1"
"GM13864","1"
"GM14303","1"
"GM14328","1"
"GM14456","1"
"GM15427","1"
"GM15430","1"
"GM15500","1"
"GM15590","1"
"GM15710","1"
"GM15772","1"
"GM15796","1"
"GM16238","1"
"GM16247","1"
"GM1673","1"
"GM17682","1"
"GM2000","1"
"GM2574","1"
"GM2A","1"
"GM3511","1"
"GM4149","1"
"GM4604","1"
"GM5054","1"
"GM5239","1"
"GM5244","1"
"GM5559","1"
"GM5805","1"
"GM5963","1"
"GM6030","1"
"GM6136","1"
"GM6166","1"
"GM6202","1"
"GM6286","1"
"GM6316","1"
"GM6863","1"
"GM7331","1"
"GM7363","1"
"GM8129","1"
"GM8730","1"
"GM8759","1"
"GM9000","1"
"GM9294","1"
"GM9493","1"
"GM9843","1"
"GNAS","1"
"GNG7","1"
"GPNMB","1"
"GPR183","1"
"GPR34","2"
"GPR65","1"
"GPR84","1"
"GRIA2","1"
"GRN","1"
"GSTM5","1"
"GTSE1","1"
"GUSB","1"
"GYPC","1"
"H2-D1","1"
"H2-K1","1"
"HEXA","1"
"HIF1A","1"
"HIST2H2BA","1"
"HLA","1"
"HLA-B","1"
"HLA-DR","2"
"HLA-DRA","3"
"HLA-DRB1","1"
"HMOX1","1"
"HPSE","1"
"HSPA8","1"
"Iba-1","1"
"IBA1","6"
"IFI27L2B","1"
"IFI44","1"
"IFNGR1","2"
"IGF1","1"
"IGSF10","1"
"IL15","1"
"IL18BP","1"
"IL1B","1"
"IL4I1","1"
"INF2","1"
"INOS","1"
"IRF8","1"
"ISL1","1"
"ITGAM","2"
"ITGAX","2"
"KCNJ2","1"
"KCNJ5","1"
"KCNMA1","1"
"KIF1A","1"
"KLF2","2"
"LAPTM5","2"
"LDHA","1"
"LGALS1","1"
"LGALS3BP","1"
"LGI2","1"
"LHX1","1"
"LILRB4","1"
"LOC100133445","1"
"LOC100507639","1"
"LOC102724549","1"
"LOC102724661","1"
"LOC1027255328","1"
"LOX","1"
"LPL","1"
"LRPAP1","1"
"LSR","1"
"LYZ1","1"
"LYZ2","1"
"MAFF","1"
"MAMDC2","1"
"MARCKS","1"
"MCM5","1"
"MEIS1","1"
"MHC2","1"
"MIF","1"
"MIR682","1"
"MMU-MIR-703","1"
"MNDA","1"
"MOBP","1"
"MOV10L1","1"
"MPEG1","1"
