"marker","count"
"ACAT2","1"
"ACTG1","1"
"ADAMTS4","1"
"AFAP1L2","1"
"ALCAM","1"
"AMOTL2","1"
"ANGPTL2","1"
"APC","1"
"APOD","1"
"ARL4A","1"
"ASIC1","1"
"ASPA","1"
"ATCAY","1"
"ATP5E","1"
"BCAS1","1"
"BIN1","1"
"C17orf76-AS1","1"
"C2orf27A","1"
"CDH13","1"
"CDHR1","1"
"CDK18","1"
"CLDN11","6"
"CNDP1","1"
"CNP","7"
"CNTNAP2","1"
"COX7C","1"
"CRB1","1"
"CSPG2","1"
"CSPG4","3"
"CSPG4/NG2","1"
"CXADR","1"
"DAAM2","1"
"DHCR24","1"
"DHCR7","1"
"DLL1","1"
"DLL3","2"
"DPYD","1"
"DSCAM","1"
"EBP","1"
"EDIL3","1"
"EEF1B2","1"
"EEF2","1"
"EIF3E","1"
"EIF3L","1"
"ENPP6","1"
"EPN2","1"
"ERBB3","1"
"ERMN","2"
"EVI2A","1"
"FA2H","3"
"FABP7","1"
"FAU","1"
"FDPS","1"
"FERMT1","1"
"FGFBP3","1"
"FXYD6","1"
"GALNT6","1"
"GAP43","1"
"GJB1","1"
"GNB2L1","1"
"GPR17","2"
"GPR37","1"
"GPR37L1","1"
"GPR62","1"
"GRIA1","1"
"GRIA2","2"
"GRIA4","1"
"GRIK2","1"
"GRM3","1"
"GSN","1"
"HIP1","1"
"HIPK2","1"
"IFITM10","1"
"KCNH8","1"
"KCNIP3","1"
"KLK6","1"
"KLRC2","1"
"LDHB","1"
"LGI3","1"
"LHFPL3","1"
"LIMA1","1"
"LIMS2","1"
"LMF1","1"
"LPAR1","1"
"LPPR1","1"
"LRRN1","1"
"MAG","12"
"MAL","2"
"MAML2","1"
"MAP","1"
"MAP1A","1"
"MAP2","1"
"MAP6D1","1"
"MARCKSL1","1"
"MBP","16"
"MEST","1"
"MICAL1","1"
"MIF","1"
"MOBP","6"
"MOG","15"
"MTSS1","1"
"MYT1","2"
"NACA","1"
"NAP1L1","1"
"NEU4","1"
"Ng2","1"
"Nkx2.2","1"
"NME1","1"
"NME2","1"
"NOGO","1"
"NPM1","1"
"NPPA","1"
"NXPH1","1"
"OLIG1","8"
"OLIG2","14"
"Olig2-C","1"
"OMG","2"
"OPALIN","1"
"OPCML","1"
"OSP","1"
"P2RX7","1"
"PCDH15","1"
"PCDH9","1"
"Pdgfa","1"
"PDGFRA","2"
"PGRMC1","1"
"PHACTR3","1"
"PHLDA1","1"
"PHLDB1","1"
"PID1","1"
"PLEKHB1","1"
"PLEKHH1","1"
"PLLP","1"
"PLP1","15"
"POLR2F","1"
"PPP1R14A","3"
"PRKCQ","1"
"PTGDS","1"
"QKI","1"
"QKI-5","1"
"RAB2A","1"
"RAB33A","1"
"RFFL","1"
"RGMB","1"
"RGR","1"
"RPL13A","1"
"RPL31","1"
"RPS17L","1"
"RPS2","1"
"RPS23","1"
"RPSAP58","1"
"RTKN","1"
"SCD","1"
"SEC14L5","1"
"SERINC5","1"
"SGK1","1"
"SGK2","1"
"SHC4","1"
"SHD","1"
"SHISA4","1"
"SIRT2","1"
"SLC1A1","1"
"SNX1","1"
"SNX22","1"
"SOX10","5"
"SOX6","1"
"SOX8","1"
"TAGLN3","1"
"TCF12","1"
"TF","2"
"THY1","1"
"TM7SF2","1"
"TMEFF2","1"
"TMEM120","1"
"TMEM97","1"
"TMSB10","1"
"TMSB4X","1"
"TNK2","1"
"TNR","2"
"TRAF4","1"
"TUBB","1"
"TUBB3","1"
"TUBB4A","1"
"UGT8","2"
"UQCRB","1"
"VCAN","1"
"VIPR2","1"
"WSCD1","1"
"ZCCHC24","1"
"ZDHHC9","1"
"ZEB2","1"
"ZNF488","1"
